Obs,Date,Site,Site2,species,species2,TL,BD,BW,WET,DW,ED,DW_PCT
1,7/22/2004,AWRI,1,amprup,native,2.61,0.83,0.34,0.2981,0.0483,379.5647166,16.20261657
2,7/13/2004,AWRI,1,amprup,native,6.52,2.33,0.92,5.2275,1.0352,3578.639366,19.80296509
3,7/19/2004,FISH,1,amprup,native,4.5,1.62,0.65,1.7719,0.3188,3590.696186,17.991986
4,7/19/2004,AWRI,1,amprup,native,9.43,3.32,1.34,15.2955,3.1541,3603.816925,20.62109771
5,7/20/2004,STPA,1,amprup,native,5.79,1.95,0.76,3.4477,0.6933,3664.134404,20.10905821
6,7/22/2004,AWRI,1,amprup,native,8.08,2.78,1.15,10.1516,2.1021,3674.847359,20.70708066
7,7/13/2004,STPA,1,amprup,native,10.47,3.55,1.34,17.3358,3.7521,3688.152688,21.64365071
8,7/19/2004,AWRI,1,amprup,native,10.36,3.54,1.41,21.011,4.5002,3706.111355,21.4183047
9,7/19/2004,FISH,1,amprup,native,5.54,2.06,0.77,3.5212,0.7117,3728.089581,20.21185959
10,7/19/2004,FISH,1,amprup,native,5.25,1.87,0.72,2.8626,0.5736,3837.861231,20.03772794
11,7/19/2004,FISH,1,amprup,native,7.38,2.55,0.98,7.3474,1.5649,3851.119391,21.29869069
12,7/19/2004,AWRI,3,amprup,native,7.33,2.59,1,7.9327,1.6441,3916.86484,20.72560414
13,7/13/2004,STPA,3,amprup,native,10.07,3.65,1.65,19.4871,4.1747,3918.254968,21.42289001
14,7/19/2004,FISH,3,amprup,native,6.35,2.25,0.95,5.2425,1.0691,3988.407626,20.3929423
15,7/20/2004,STPA,3,amprup,native,9.69,3.1,1.29,15.7217,3.6041,3999.289193,22.92436569
16,7/20/2004,STPA,3,amprup,native,11.92,4.36,1.91,35.9914,8.0686,4047.212149,22.41813322
17,7/19/2004,AWRI,3,amprup,native,6.78,2.46,0.95,6.4629,1.3604,4082.907804,21.04937412
18,7/19/2004,FISH,3,amprup,native,6.71,2.41,0.97,6.1064,1.2975,4114.342686,21.24819861
19,7/19/2004,FISH,3,amprup,native,6.15,2.36,0.89,4.672,0.9895,4140.929543,21.17936644
20,7/19/2004,FISH,3,amprup,native,12.6,4.04,1.59,24.4383,5.4983,4151.761262,22.49870081
21,7/19/2004,AWRI,3,amprup,native,7.2,2.56,0.97,7.2844,1.5388,4159.671106,21.12459502
22,7/19/2004,FISH,3,amprup,native,7.02,2.63,1.06,7.9172,1.7026,4181.416263,21.50507755
23,7/19/2004,AWRI,5,amprup,native,6.91,2.58,1.01,6.9858,1.498,4210.219699,21.44349967
